avatar,category,delivery_fee,delivery_time,distance,name,price_range,rating,url
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201802041807_e48fac9a-6f3e-422d-89c1-dc7fbf3fcf3d.png",Lanches,4.9,40,1.07,Rock&ribs,MODERATE,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/rockribs-jardim-das-colinas/e48fac9a-6f3e-422d-89c1-dc7fbf3fcf3d
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/34ac672e-d910-4836-8a8f-419ecbcc5a21/201802281854_capab.jpg",Lanches,4.9,60,3.45,Bless Hamburgueria,CHEAP,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/bless-hamburgueria-parque-industrial/34ac672e-d910-4836-8a8f-419ecbcc5a21
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/59fb4676-a942-4558-a6f4-cac0250d884a/201803301848_img20.jpg",Variada,4.9,60,2.99,Fucking Crazy Boss Burger e Chope,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/fucking-crazy-boss-burger-e-chope-parque-residencial-aquarius/59fb4676-a942-4558-a6f4-cac0250d884a
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201802071045_0cf08fab-e2ea-4c64-a6ba-bb5a24e974b8.png",Brasileira,2.0,45,3.33,Edi e Fati Marmitaria Delivery,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/edi-e-fati-marmitaria-delivery-jardim-satelite/0cf08fab-e2ea-4c64-a6ba-bb5a24e974b8
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201802201114_d125f567-96b7-49ee-9b81-ede943a082bd.png",Pizza,6.0,45,4.27,Fornovo Pizzaria,MODERATE,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/fornovo-pizzaria-vila-industrial/d125f567-96b7-49ee-9b81-ede943a082bd
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201802140925_85045d26-e316-4f54-8495-659a308ba172.png",Carnes,4.9,40,1.02,Varanda Espetinhos,CHEAP,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/varanda-espetinhos-jardim-nova-america/85045d26-e316-4f54-8495-659a308ba172
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201802191524_70a93bd7-cee1-4f62-86e5-9cb02145a446.jpg",Lanches,5.9,60,4.62,Katgabi Lanches & Molhos,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/katgabi-lanches--molhos-jardim-satelite/70a93bd7-cee1-4f62-86e5-9cb02145a446
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201802191939_cd23b713-d6ef-4404-b4db-2de9e57ea971.png",Mexicana,6.0,50,3.74,Tacos del Acapulco,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/tacos-del-acapulco-jardim-satelite/cd23b713-d6ef-4404-b4db-2de9e57ea971
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201802221438_5bb14cfa-8364-46e6-86c7-7fae52d24de3.png",Japonesa,3.0,60,2.32,Tiamat Sushi Delivery,MODERATE,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/tiamat-sushi-delivery-centro/5bb14cfa-8364-46e6-86c7-7fae52d24de3
,Variada,3.0,50,1.37,Deck da Villa,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/deck-da-villa-jardim-sao-dimas/6be40c2b-c08c-4801-9e47-30eb3d580398
